index,timestamp_iso,pluvio2s_precipitation_mm,valid_data
350,2022-02-11T03:30:00,0.179,1
351,2022-02-11T03:40:00,0.08,1
352,2022-02-11T04:10:00,0.113,1
353,2022-02-11T04:20:00,0.637,1
354,2022-02-11T04:30:00,0.532,1
355,2022-02-11T04:40:00,0.542,1
356,2022-02-11T04:50:00,0.164,1
357,2022-02-11T05:00:00,0.172,1
358,2022-02-11T05:10:00,0.517,1
359,2022-02-11T05:20:00,0.597,1
360,2022-02-11T05:30:00,0.506,1
361,2022-02-11T05:40:00,0.407,1
362,2022-02-11T05:50:00,0.248,1
363,2022-02-11T06:00:00,0.249,1
364,2022-02-11T06:10:00,0.202,1
365,2022-02-11T06:20:00,0.28,1
366,2022-02-11T06:30:00,0.414,1
367,2022-02-11T06:40:00,0.363,1
368,2022-02-11T06:50:00,0.603,1
369,2022-02-11T07:00:00,0.376,1
370,2022-02-11T07:10:00,0.16,1
371,2022-02-11T07:20:00,0.167,1
372,2022-02-11T07:30:00,0.352,1
373,2022-02-11T07:40:00,0.154,1
374,2022-02-11T07:50:00,0.166,1
375,2022-02-11T08:00:00,0.289,1
376,2022-02-11T08:10:00,0.221,1
377,2022-02-11T08:20:00,0.184,1
378,2022-02-11T08:30:00,0.321,1
379,2022-02-11T08:40:00,0.07,1
380,2022-02-11T08:50:00,0.079,1
381,2022-02-11T09:00:00,0.208,1
382,2022-02-11T09:10:00,0.021,1
383,2022-02-14T18:50:00,0.123,1
384,2022-02-14T19:00:00,0.03,1
385,2022-02-14T19:10:00,0.121,1
386,2022-02-14T19:20:00,0.049,1
387,2022-02-14T23:00:00,0.032,1
388,2022-02-14T23:10:00,0.061,1
389,2022-02-14T23:20:00,0.187,1
390,2022-02-14T23:30:00,0.177,1
391,2022-02-14T23:40:00,0.112,1
392,2022-02-14T23:50:00,0.03,1
393,2022-02-15T00:00:00,0.107,1
394,2022-02-15T00:10:00,0.184,1
395,2022-02-15T00:20:00,0.209,1
396,2022-02-15T00:30:00,0.276,1
397,2022-02-15T00:40:00,0.084,1
398,2022-02-15T00:50:00,0.125,1
399,2022-02-15T01:00:00,0.166,1
400,2022-02-15T01:10:00,0.114,1
401,2022-02-15T01:20:00,0.023,1
402,2022-02-15T01:30:00,0.031,1
403,2022-02-15T01:40:00,0.021,1
404,2022-02-15T01:50:00,0.03,1
405,2022-02-15T05:10:00,0.08,1
406,2022-02-15T05:20:00,0.042,1
407,2022-02-15T05:30:00,0.031,1
408,2022-02-15T05:40:00,0.122,1
409,2022-02-15T05:50:00,0.291,1
410,2022-02-15T06:00:00,0.178,1
411,2022-02-15T06:10:00,0.096,1
412,2022-02-15T06:20:00,0.057,1
413,2022-02-15T07:20:00,0.032,1
414,2022-02-15T10:50:00,0.05,1
415,2022-02-15T11:00:00,0.046,1
416,2022-02-15T11:10:00,0.063,1
417,2022-02-15T14:00:00,0.509,1
418,2022-02-15T18:00:00,0.181,1
419,2022-02-15T18:10:00,0.274,1
420,2022-02-16T09:10:00,0.054,1
421,2022-02-16T09:20:00,0.071,1
422,2022-02-16T09:30:00,0.02,1
423,2022-02-16T10:00:00,0.058,1
424,2022-02-16T10:10:00,0.085,1
425,2022-02-16T10:20:00,0.087,1
426,2022-02-16T10:30:00,0.149,1
427,2022-02-16T10:40:00,0.112,1
428,2022-02-16T10:50:00,0.176,1
429,2022-02-16T11:00:00,0.148,1
430,2022-02-16T11:10:00,0.182,1
431,2022-02-16T11:20:00,0.088,1
432,2022-02-16T11:30:00,0.043,1
433,2022-02-16T11:40:00,0.063,1
434,2022-02-16T11:50:00,0.021,1
435,2022-02-16T12:30:00,0.064,1
436,2022-02-16T12:40:00,0.049,1
437,2022-02-16T12:50:00,0.079,1
438,2022-02-16T13:00:00,0.063,1
439,2022-02-16T13:10:00,0.023,1
440,2022-02-16T13:20:00,0.037,1
441,2022-02-16T13:30:00,0.086,1
442,2022-02-16T13:40:00,0.046,1
443,2022-02-16T13:50:00,0.041,1
444,2022-02-16T14:10:00,0.038,1
445,2022-02-16T14:20:00,0.041,1
446,2022-02-16T14:30:00,0.033,1
447,2022-02-16T16:10:00,0.081,1
448,2022-02-16T16:20:00,0.065,1
449,2022-02-16T18:10:00,0.033,1
450,2022-02-16T18:50:00,0.036,1
451,2022-02-16T22:00:00,0.116,1
452,2022-02-16T22:10:00,0.128,1
453,2022-02-16T22:20:00,0.05,1
454,2022-02-16T22:40:00,0.14,1
455,2022-02-16T22:50:00,0.045,1
456,2022-02-16T23:10:00,0.291,1
457,2022-02-16T23:20:00,0.168,1
458,2022-02-16T23:30:00,0.021,1
459,2022-02-17T03:20:00,0.081,1
460,2022-02-17T03:30:00,0.028,1
461,2022-02-17T11:30:00,0.341,1
462,2022-02-17T11:40:00,0.702,1
463,2022-02-17T11:50:00,0.148,1
464,2022-02-17T12:00:00,0.186,1
465,2022-02-18T20:50:00,0.377,1
466,2022-02-18T21:00:00,0.115,1
467,2022-02-19T01:00:00,0.022,1
468,2022-02-19T01:10:00,0.071,1
469,2022-02-19T01:20:00,0.144,1
470,2022-02-19T01:30:00,0.207,1
471,2022-02-19T01:40:00,0.053,1
472,2022-02-19T01:50:00,0.13,1
473,2022-02-19T02:10:00,0.156,1
474,2022-02-19T02:20:00,0.181,1
475,2022-02-19T02:30:00,0.146,1
476,2022-02-19T02:40:00,0.246,1
477,2022-02-19T02:50:00,0.313,1
478,2022-02-19T03:00:00,0.196,1
479,2022-02-19T05:10:00,0.084,1
480,2022-02-19T05:30:00,0.12,1
481,2022-02-19T05:40:00,0.496,1
482,2022-02-19T05:50:00,0.188,1
483,2022-02-19T06:00:00,0.026,1
484,2022-02-19T06:20:00,0.118,1
485,2022-02-19T06:30:00,0.101,1
486,2022-02-19T06:40:00,0.089,1
487,2022-02-19T10:50:00,0.206,1
488,2022-02-19T11:00:00,0.023,1
489,2022-02-19T11:20:00,0.157,1
490,2022-02-19T11:30:00,0.028,1
491,2022-02-21T06:40:00,0.156,1
492,2022-02-21T06:50:00,0.063,1
493,2022-02-21T07:00:00,0.848,1
494,2022-02-21T07:10:00,0.306,1
495,2022-02-21T07:20:00,0.98,1
496,2022-02-21T07:30:00,0.466,1
497,2022-02-21T12:10:00,0.067,1
498,2022-02-21T12:20:00,0.311,1
499,2022-02-21T12:30:00,1.048,1
500,2022-02-21T15:20:00,0.062,1
501,2022-02-21T15:30:00,0.495,1
502,2022-02-21T15:40:00,0.031,1
503,2022-02-21T16:00:00,0.566,1
504,2022-02-21T17:20:00,0.05,1
505,2022-02-21T17:50:00,0.053,1
506,2022-02-21T18:00:00,0.056,1
507,2022-02-21T18:10:00,0.068,1
508,2022-02-21T18:20:00,0.042,1
509,2022-02-21T18:30:00,0.052,1
510,2022-02-21T18:40:00,0.183,1
511,2022-02-21T18:50:00,0.062,1
512,2022-02-21T19:00:00,0.044,1
513,2022-02-21T19:10:00,0.069,1
514,2022-02-21T19:20:00,0.159,1
515,2022-02-21T19:30:00,0.061,1
516,2022-02-21T19:40:00,0.023,1
517,2022-02-21T19:50:00,0.148,1
518,2022-02-21T20:00:00,0.124,1
519,2022-02-21T20:10:00,0.186,1
520,2022-02-21T20:20:00,0.104,1
521,2022-02-21T20:30:00,0.184,1
522,2022-02-21T20:50:00,0.031,1
523,2022-02-21T21:20:00,0.037,1
524,2022-02-21T21:30:00,0.066,1
525,2022-02-21T21:40:00,0.05,1
526,2022-02-21T21:50:00,0.031,1
527,2022-02-21T23:00:00,0.048,1
528,2022-02-22T05:40:00,0.05,1
529,2022-02-22T05:50:00,0.088,1
530,2022-02-22T06:00:00,0.218,1
531,2022-02-22T06:10:00,0.286,1
532,2022-02-22T06:20:00,0.021,1
533,2022-02-22T06:40:00,0.252,1
534,2022-02-22T06:50:00,0.024,1
535,2022-02-22T07:10:00,0.043,1
536,2022-02-22T07:30:00,0.043,1
537,2022-02-22T07:40:00,0.026,1
538,2022-02-22T07:50:00,0.038,1
539,2022-02-22T08:00:00,0.04,1
540,2022-02-22T09:10:00,0.123,1
541,2022-02-22T09:20:00,0.104,1
542,2022-02-22T09:30:00,0.116,1
543,2022-02-22T10:50:00,0.046,1
544,2022-02-23T02:40:00,0.179,1
545,2022-02-23T04:10:00,0.037,1
546,2022-02-23T08:30:00,0.094,1
547,2022-02-23T08:40:00,0.085,1
548,2022-02-25T00:30:00,0.18,1
549,2022-02-25T02:20:00,0.142,1
550,2022-02-25T02:30:00,0.114,1
551,2022-02-25T02:50:00,0.099,1
552,2022-02-25T03:10:00,0.132,1
553,2022-02-25T03:30:00,0.068,1
554,2022-02-25T03:40:00,0.077,1
555,2022-02-25T04:00:00,0.048,1
556,2022-02-25T04:10:00,0.02,1
557,2022-02-25T20:30:00,0.092,1
558,2022-02-25T20:40:00,0.021,1
559,2022-02-26T00:20:00,0.152,1
560,2022-02-26T00:30:00,0.308,1
561,2022-02-26T00:40:00,0.377,1
562,2022-02-26T00:50:00,0.054,1
563,2022-02-26T01:00:00,0.183,1
564,2022-02-26T01:10:00,0.109,1
565,2022-02-26T01:40:00,0.047,1
566,2022-03-14T02:40:00,0.072,1
567,2022-03-14T02:50:00,0.022,1
568,2022-03-14T03:00:00,0.083,1
569,2022-03-14T03:10:00,0.096,1
570,2022-03-14T03:20:00,0.066,1
571,2022-03-14T05:20:00,0.095,1
572,2022-03-15T05:00:00,0.065,1
573,2022-03-15T05:10:00,0.058,1
574,2022-03-15T05:20:00,0.025,1
575,2022-03-15T05:30:00,0.088,1
576,2022-03-15T06:20:00,0.07,1
577,2022-03-15T06:30:00,0.035,1
578,2022-03-15T06:50:00,0.038,1
579,2022-03-15T07:00:00,0.094,1
580,2022-03-15T07:10:00,0.109,1
581,2022-03-15T07:20:00,0.088,1
582,2022-03-15T07:30:00,0.067,1
583,2022-03-15T07:40:00,0.111,1
584,2022-03-15T07:50:00,0.113,1
585,2022-03-15T08:00:00,0.057,1
586,2022-03-15T08:10:00,0.025,1
587,2022-03-15T08:20:00,0.042,1
588,2022-03-15T08:30:00,0.045,1
589,2022-03-15T08:40:00,0.034,1
590,2022-03-15T09:20:00,0.157,1
591,2022-03-15T09:30:00,0.055,1
592,2022-03-15T10:30:00,0.048,1
593,2022-03-15T10:40:00,0.059,1
594,2022-03-15T10:50:00,0.066,1
595,2022-03-15T11:00:00,0.036,1
596,2022-03-15T12:10:00,0.046,1
597,2022-03-17T01:10:00,0.042,1
598,2022-03-18T03:10:00,0.061,1
599,2022-03-18T03:20:00,0.077,1
600,2022-03-18T03:30:00,0.053,1
601,2022-03-18T03:40:00,0.154,1
602,2022-03-18T03:50:00,0.125,1
603,2022-03-18T04:00:00,0.087,1
604,2022-03-18T04:10:00,0.051,1
605,2022-03-18T04:20:00,0.053,1
606,2022-03-18T04:50:00,0.05,1
607,2022-03-18T05:00:00,0.057,1
608,2022-03-18T05:10:00,0.059,1
609,2022-03-18T05:20:00,0.022,1
610,2022-03-18T05:30:00,0.073,1
611,2022-03-18T05:40:00,0.099,1
612,2022-03-18T05:50:00,0.084,1
613,2022-03-18T06:00:00,0.125,1
614,2022-03-18T06:10:00,0.255,1
615,2022-03-18T06:20:00,0.12,1
616,2022-03-18T06:30:00,0.148,1
617,2022-03-18T06:40:00,0.117,1
618,2022-03-18T06:50:00,0.087,1
619,2022-03-18T07:00:00,0.121,1
620,2022-03-18T07:10:00,0.023,1
621,2022-03-18T07:20:00,0.03,1
622,2022-03-29T04:00:00,0.05,1
623,2022-03-30T03:10:00,0.03,1
624,2022-03-30T08:50:00,0.047,1
625,2022-03-30T09:00:00,0.087,1
626,2022-03-30T09:10:00,0.198,1
627,2022-03-30T09:20:00,0.124,1
628,2022-03-30T09:40:00,0.112,1
629,2022-03-30T09:50:00,0.039,1
630,2022-03-30T10:00:00,0.118,1
631,2022-03-30T10:10:00,0.128,1
632,2022-03-30T10:20:00,0.07,1
633,2022-03-30T10:30:00,0.074,1
634,2022-03-30T10:40:00,0.058,1
